"Xu hướng","Lượng tìm kiếm","Đã bắt đầu","Đã kết thúc","Bảng chi tiết về xu hướng","Đường liên kết khám phá"
"boeing workers strike","1 N+","lúc 15:20:00 UTC+7 13 tháng 9, 2024",,"boeing workers strike","https://trends.google.com.vn/trends/explore?q=boeing%20workers%20strike&geo=US&hl=vi"
"iphone iphone 16 pro max","2 N+","lúc 15:30:00 UTC+7 13 tháng 9, 2024",,"iphone iphone 16 pro max,apple store,apple iphone 16 pro max,iphone 16 preorder","https://trends.google.com.vn/trends/explore?q=iphone%20iphone%2016%20pro%20max&geo=US&hl=vi"
"katz privacy settlement","1 N+","lúc 14:40:00 UTC+7 13 tháng 9, 2024",,"katz privacy settlement,oracle america,oracle class action lawsuit,katz lacabe vs oracle","https://trends.google.com.vn/trends/explore?q=katz%20privacy%20settlement&geo=US&hl=vi"
"延迟退休","1 N+","lúc 14:00:00 UTC+7 13 tháng 9, 2024",,"延迟退休","https://trends.google.com.vn/trends/explore?q=%E5%BB%B6%E8%BF%9F%E9%80%80%E4%BC%91&geo=US&hl=vi"
"adam sandler happy gilmore","2 N+","lúc 14:50:00 UTC+7 13 tháng 9, 2024",,"adam sandler happy gilmore,happy gilmore","https://trends.google.com.vn/trends/explore?q=adam%20sandler%20happy%20gilmore&geo=US&hl=vi"
"ground cinnamon lead","1 N+","lúc 14:40:00 UTC+7 13 tháng 9, 2024",,"ground cinnamon lead,lead in cinnamon","https://trends.google.com.vn/trends/explore?q=ground%20cinnamon%20lead&geo=US&hl=vi"
"steve harvey","500+","lúc 14:40:00 UTC+7 13 tháng 9, 2024",,"steve harvey","https://trends.google.com.vn/trends/explore?q=steve%20harvey&geo=US&hl=vi"
"ba stock","500+","lúc 15:30:00 UTC+7 13 tháng 9, 2024",,"ba stock","https://trends.google.com.vn/trends/explore?q=ba%20stock&geo=US&hl=vi"
"nfl news","500+","lúc 16:50:00 UTC+7 13 tháng 9, 2024",,"nfl news,who won the bills game,score of the bills game,bills miami","https://trends.google.com.vn/trends/explore?q=nfl%20news&geo=US&hl=vi"
"nyt connections hints september 13","500+","lúc 17:00:00 UTC+7 13 tháng 9, 2024",,"nyt connections hints september 13,connections hint september 13,nyt connections hint","https://trends.google.com.vn/trends/explore?q=nyt%20connections%20hints%20september%2013&geo=US&hl=vi"
"krispy kreme","500+","lúc 16:40:00 UTC+7 13 tháng 9, 2024",,"krispy kreme","https://trends.google.com.vn/trends/explore?q=krispy%20kreme&geo=US&hl=vi"
"red sox","1 N+","lúc 16:50:00 UTC+7 13 tháng 9, 2024",,"red sox","https://trends.google.com.vn/trends/explore?q=red%20sox&geo=US&hl=vi"
"milwaukee brewers","500+","lúc 16:50:00 UTC+7 13 tháng 9, 2024",,"milwaukee brewers","https://trends.google.com.vn/trends/explore?q=milwaukee%20brewers&geo=US&hl=vi"
"katy perry real name","200+","lúc 16:10:00 UTC+7 13 tháng 9, 2024",,"katy perry real name","https://trends.google.com.vn/trends/explore?q=katy%20perry%20real%20name&geo=US&hl=vi"
"amber alert los angeles","500+","lúc 15:40:00 UTC+7 13 tháng 9, 2024",,"amber alert los angeles,amber alert california","https://trends.google.com.vn/trends/explore?q=amber%20alert%20los%20angeles&geo=US&hl=vi"
"nashville weather","500+","lúc 17:00:00 UTC+7 13 tháng 9, 2024",,"nashville weather,atlanta weather,weather atlanta,windy","https://trends.google.com.vn/trends/explore?q=nashville%20weather&geo=US&hl=vi"
"azerbaijan","200+","lúc 16:30:00 UTC+7 13 tháng 9, 2024",,"azerbaijan","https://trends.google.com.vn/trends/explore?q=azerbaijan&geo=US&hl=vi"
"macaroni cheese recall","200+","lúc 16:30:00 UTC+7 13 tháng 9, 2024",,"macaroni cheese recall","https://trends.google.com.vn/trends/explore?q=macaroni%20cheese%20recall&geo=US&hl=vi"
"utah football cam rising injury","500+","lúc 13:30:00 UTC+7 13 tháng 9, 2024",,"utah football cam rising injury","https://trends.google.com.vn/trends/explore?q=utah%20football%20cam%20rising%20injury&geo=US&hl=vi"
"tnon stock","200+","lúc 16:00:00 UTC+7 13 tháng 9, 2024",,"tnon stock","https://trends.google.com.vn/trends/explore?q=tnon%20stock&geo=US&hl=vi"
"jude bellingham","200+","lúc 16:50:00 UTC+7 13 tháng 9, 2024",,"jude bellingham","https://trends.google.com.vn/trends/explore?q=jude%20bellingham&geo=US&hl=vi"
"khloe kardashian","200+","lúc 14:20:00 UTC+7 13 tháng 9, 2024",,"khloe kardashian","https://trends.google.com.vn/trends/explore?q=khloe%20kardashian&geo=US&hl=vi"
"level","200+","lúc 17:00:00 UTC+7 13 tháng 9, 2024",,"level,current mortgage rates,30 year mortgage rates","https://trends.google.com.vn/trends/explore?q=level&geo=US&hl=vi"
"friday 13th","100+","lúc 17:00:00 UTC+7 13 tháng 9, 2024",,"friday 13th","https://trends.google.com.vn/trends/explore?q=friday%2013th&geo=US&hl=vi"
"civil war","500+","lúc 14:20:00 UTC+7 13 tháng 9, 2024",,"civil war","https://trends.google.com.vn/trends/explore?q=civil%20war&geo=US&hl=vi"
"child abduction alert","500+","lúc 15:40:00 UTC+7 13 tháng 9, 2024",,"child abduction alert","https://trends.google.com.vn/trends/explore?q=child%20abduction%20alert&geo=US&hl=vi"
"brewers score","200+","lúc 16:40:00 UTC+7 13 tháng 9, 2024",,"brewers score","https://trends.google.com.vn/trends/explore?q=brewers%20score&geo=US&hl=vi"
"uglies movie","200+","lúc 15:50:00 UTC+7 13 tháng 9, 2024",,"uglies movie","https://trends.google.com.vn/trends/explore?q=uglies%20movie&geo=US&hl=vi"
"viernes 13","200+","lúc 13:30:00 UTC+7 13 tháng 9, 2024",,"viernes 13","https://trends.google.com.vn/trends/explore?q=viernes%2013&geo=US&hl=vi"
